"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 00:35:54 UTC 2024","Mon Jan 29 00:36:56 UTC 2024","61421","","","","","","C212: Checking ""Послуги"" section on the main page",""
"passed","Mon Jan 29 00:36:56 UTC 2024","Mon Jan 29 00:37:51 UTC 2024","55416","","","","","","C213: Checking ""Спецтехніка"" section on the main page",""
"failed","Mon Jan 29 00:37:56 UTC 2024","Mon Jan 29 00:38:09 UTC 2024","13460","","","","","","C226: Verify ""У Вас залишилися питання?"" form",""
"failed","Mon Jan 29 00:38:09 UTC 2024","Mon Jan 29 00:38:26 UTC 2024","17100","","","","","","C530: Verify Search Input",""
"passed","Mon Jan 29 00:37:51 UTC 2024","Mon Jan 29 00:37:56 UTC 2024","4290","","","","","","C214: Verify that all elements on the footer are displayed and all links are clickable",""
